"filename", "language", "Markdown", "C#", "JSON", "XML", "comment", "blank", "total"
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\README.md", "Markdown", 2, 0, 0, 0, 0, 1, 3
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\BookingService.csproj", "XML", 0, 0, 0, 22, 0, 5, 27
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Contexts\BookingDbContext.cs", "C#", 0, 12, 0, 0, 0, 2, 14
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Controllers\AuthController.cs", "C#", 0, 67, 0, 0, 8, 13, 88
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Controllers\BookingController.cs", "C#", 0, 186, 0, 0, 26, 46, 258
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Helpers\BookingValidator.cs", "C#", 0, 21, 0, 0, 0, 2, 23
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Migrations\20250505101700_InitialAuthMigration.Designer.cs", "C#", 0, 45, 0, 0, 2, 12, 59
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Migrations\20250505101700_InitialAuthMigration.cs", "C#", 0, 31, 0, 0, 3, 4, 38
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Migrations\BookingDbContextModelSnapshot.cs", "C#", 0, 43, 0, 0, 1, 12, 56
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Models\BookingRequest.cs", "C#", 0, 14, 0, 0, 0, 0, 14
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Models\BookingResponse.cs", "C#", 0, 29, 0, 0, 0, 3, 32
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Models\ContractUpdateRequest.cs", "C#", 0, 12, 0, 0, 0, 0, 12
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Models\LoginRequest.cs", "C#", 0, 8, 0, 0, 0, 0, 8
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Models\PriceResponse.cs", "C#", 0, 13, 0, 0, 0, 1, 14
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Models\PromoteUserRequest.cs", "C#", 0, 4, 0, 0, 0, 0, 4
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Models\RegisterRequest.cs", "C#", 0, 9, 0, 0, 0, 0, 9
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Models\User.cs", "C#", 0, 13, 0, 0, 0, 1, 14
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Program.cs", "C#", 0, 89, 0, 0, 4, 26, 119
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Properties\launchSettings.json", "JSON", 0, 0, 41, 0, 0, 1, 42
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Services\Auth\IJwtService.cs", "C#", 0, 8, 0, 0, 0, 1, 9
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Services\Auth\IUserService.cs", "C#", 0, 10, 0, 0, 0, 1, 11
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Services\Auth\JwtService.cs", "C#", 0, 35, 0, 0, 5, 6, 46
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Services\Auth\UserService.cs", "C#", 0, 49, 0, 0, 7, 11, 67
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Services\BlobStorageService.cs", "C#", 0, 61, 0, 0, 9, 14, 84
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Services\CosmosDbService.cs", "C#", 0, 52, 0, 0, 7, 12, 71
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Services\FileProcessor.cs", "C#", 0, 27, 0, 0, 2, 5, 34
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Services\IBlobStorageService.cs", "C#", 0, 12, 0, 0, 0, 1, 13
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Services\ICosmosDbService.cs", "C#", 0, 14, 0, 0, 0, 1, 15
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\Services\IFileProcessor.cs", "C#", 0, 9, 0, 0, 0, 1, 10
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\BookingService\appsettings.json", "JSON", 0, 0, 9, 0, 0, 1, 10
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\PriceService\Controllers\PriceController.cs", "C#", 0, 64, 0, 0, 10, 13, 87
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\PriceService\Models\PriceRequest.cs", "C#", 0, 12, 0, 0, 0, 0, 12
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\PriceService\Models\PriceResponse.cs", "C#", 0, 13, 0, 0, 0, 1, 14
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\PriceService\PriceService.csproj", "XML", 0, 0, 0, 11, 0, 4, 15
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\PriceService\Program.cs", "C#", 0, 15, 0, 0, 0, 7, 22
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\PriceService\Properties\launchSettings.json", "JSON", 0, 0, 41, 0, 0, 1, 42
"c:\Users\Gebruiker\gradprog\ProgrammerenGevorderd3Gent\StayCloud\Services\PriceService\appsettings.json", "JSON", 0, 0, 9, 0, 0, 1, 10
"Total", "-", 2, 977, 100, 33, 84, 210, 1406